season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,pfr_id,forty,comp_av,comps,transition_yards,transition_tds,transition_av_pred,pred_av,preseason_snaps,usage_factor,boom_metric,tier
2024,2,62,BAL,,RoseRo01,roger-rosengarten-1,Roger Rosengarten,False,OL,OL,O,Washington,22.0,2024.0,0,0,1,8.0,,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,RoseRo01,4.92,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,2,63,KAN,,SuamKi00,kingsley-suamataia-1,Kingsley Suamataia,False,OL,OL,O,BYU,21.0,2024.0,0,0,0,2.0,,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SuamKi00,5.04,,"['Kaulana Noa', 'Giovanni Carmazzi', 'Richard Mercier']",,,0.0,,0.0,0,,Bust
2024,2,64,SFO,00-0039345,GreeRe00,renardo-green-1,Renardo Green,False,DB,DB,D,Florida St.,23.0,2024.0,0,0,0,3.0,,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,,GreeRe00,4.49,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,3,65,NYJ,00-0039920,CorlMa00,malachi-corley-1,Malachi Corley,False,WR,WR,O,Western Kentucky,22.0,2024.0,0,0,0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,3.0,16.0,0.0,,,,CorlMa00,,12.5,"['Ashtyn Davis', 'Jaxon Smith-Njigba', 'Garrett Gilbert']",0.4212220472309065,16.287563756375636,10.95177322800357,11.725886614001784,0.0,0,11.725886614001784,Boom
2024,3,66,ARI,00-0039921,BensTr01,trey-benson-2,Trey Benson,False,RB,RB,O,Florida St.,21.0,2024.0,0,0,0,2.0,,2.0,13.0,0.0,0.0,0.0,0.0,0.0,63.0,291.0,1.0,6.0,59.0,0.0,,,,BensTr01,4.39,4.333333333333333,"['Garrett Wolfe', 'Seneca Wallace', 'Ray-Ray McCloud']",-0.013828560176893146,1.2396089400923982,-4.024111011475905,0.15461116092871396,0.0,0,0.15461116092871396,Bust
2024,3,67,WAS,,ColeBr02,brandon-coleman-5,Brandon Coleman,False,OL,OL,O,TCU,23.0,2024.0,0,0,1,8.0,,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ColeBr02,4.99,23.0,"['Michael Boireau', 'Michael Boireau', 'Chris Hovan']",,,0.0,11.5,0.0,0,11.5,Boom
2024,3,68,NWE,,WallCa00,caedan-wallace-1,Caedan Wallace,False,OL,OL,O,Penn St.,24.0,2024.0,0,0,0,1.0,,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WallCa00,5.15,23.0,"['Michael Boireau', 'Michael Boireau', 'Travis Claridge']",,,0.0,11.5,0.0,0,11.5,Boom
2024,3,69,LAC,00-0039346,ColsJu00,junior-colson-1,Junior Colson,False,LB,LB,D,Michigan,21.0,2024.0,0,0,0,1.0,,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,ColsJu00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",1.5780547409579668,,0.0,,0.0,0,,Bust
2024,3,70,NYG,00-0039821,PhilAn02,andru-phillips-1,Andru Phillips,False,DB,DB,D,Kentucky,22.0,2024.0,0,0,0,3.0,,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,PhilAn02,4.48,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",2.030231738857132,25.5,0.0,,0.0,0,,Bust
2024,3,71,ARI,,AdamIs01,isaiah-adams-1,Isaiah Adams,False,OL,OL,O,Illinois,24.0,2024.0,0,0,0,3.0,,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,AdamIs01,5.22,30.0,"['Michael Boireau', 'Michael Boireau', 'Todd Wade']",,,0.0,15.0,0.0,0,15.0,Boom
2024,3,72,CAR,00-0039347,WallTr00,trevin-wallace-1,Trevin Wallace,False,LB,LB,D,Kentucky,21.0,2024.0,0,0,1,3.0,,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,1.0,WallTr00,4.51,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",1.5780547409579668,,0.0,,0.0,0,,Bust
